method,budget,actual_bops,bops_abs_delta,variant,parameter_count_pruned,physical_parameter_mib_fp32,parameter_reduction,canonical_int8_count,canonical_fp16_count,canonical_fp32_count,AP@0.3,AP@0.5,AP@0.7,mAP,forward_p50_ms,forward_p90_ms,forward_p99_ms,speedup_vs_fresh_fp32,num_evaluated_frames,num_skipped_frames,source_engine_reused,cache_hit,engine_built_this_run,evaluation_executed_this_run,all_deployment_checks_passed,candidate_hash,engine_hash,artifact_dir,resource_artifact_dir
greedy,0.3,0.3019222021102905,0.0019222021102905384,quant_only,5464791,20.84652328491211,0.0,0,26,44,0.8261695420452244,0.7816144310361925,0.6023461937700202,0.7367100556171456,7.237827560553948,7.466063027580579,30.51543050754679,0.9715073869034715,1789,0,False,False,True,True,True,d81e3793624f4e736fede087edfb3bd20fa2374128b6eb203bbd7c6484b096e8,8b75740ffa26236b71c6a185ae18c16af5474a62934c472dfa6c22917dbd6320,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/quant_only
greedy,0.25,0.24907951056957245,0.0009204894304275513,prune_only,4316459,16.465984344482422,0.21013283033148022,0,1,69,0.8262661490938178,0.7816198290542767,0.6022611209907545,0.7367156997129497,6.101444674034913,6.3408248747388525,32.40984647222736,1.1524488569297577,1789,0,False,True,False,False,True,8fd3a0af25602a66bd5555903f3668694bf99273a5c289b2297c7df005ac6dbf,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only
greedy,0.25,0.24907951056957245,0.0009204894304275513,prune_quant,4316459,16.465984344482422,0.21013283033148022,0,31,39,0.8261961248518527,0.7815739096453237,0.6026512439548357,0.7368070928173373,6.6062820454438524,6.825477660944065,26.81398862971497,1.0643812800970514,1789,0,True,False,False,True,True,01ad532f87c709bdf17c282d32906b4f3f641000c411f44be545feae6f53e316,6ebe0cbf0b46d21012c3866efa25409e576194cb0d65dc379a413f8495177a03,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.25/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_greedy_20260717_030912/greedy/stage2_full/01ad532f87c709bdf17c282d32906b4f3f641000c411f44be545feae6f53e316
greedy,0.25,0.24907951056957245,0.0009204894304275513,quant_only,5464791,20.84652328491211,0.0,0,31,39,0.8263633143624084,0.7818269843901161,0.602273471490073,0.7368212567475325,6.649174261838198,6.724189687520266,22.073621187966676,1.0575152136662112,1789,0,False,False,True,True,True,ecb23c5a3ff00e917f5fc2c828e6b34dcb6962123ec8353f460a6b02725e8a6d,282b193524985f1991e24d6d99e56cc1c8ec137a372074fa183694dcfb2bb151,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.25/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.25/quant_only
greedy,0.2,0.19677375257015228,0.0032262474298477284,prune_only,4316459,16.465984344482422,0.21013283033148022,0,1,69,0.8262661490938178,0.7816198290542767,0.6022611209907545,0.7367156997129497,6.101444674034913,6.3408248747388525,32.40984647222736,1.1524488569297577,1789,0,False,True,False,False,True,8fd3a0af25602a66bd5555903f3668694bf99273a5c289b2297c7df005ac6dbf,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only
greedy,0.2,0.19677375257015228,0.0032262474298477284,prune_quant,4316459,16.465984344482422,0.21013283033148022,2,31,37,0.8261324403047109,0.7815546478802297,0.6023266498358303,0.7366712460069236,4.724286341418822,4.8280151560902596,19.573214904702926,1.4883947398708957,1789,0,True,False,False,True,True,da60927b00577ee3dac09ba2f51fbedeedc55b2d2e1264c816c3b1d332d7716f,7b8ffb5fab14f3eef7d8283d2c757490c09d24d89d8f9ad8be2098ec210eecd3,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.20/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_greedy_20260717_030912/greedy/stage2_full/da60927b00577ee3dac09ba2f51fbedeedc55b2d2e1264c816c3b1d332d7716f
greedy,0.2,0.19677375257015228,0.0032262474298477284,quant_only,5464791,20.84652328491211,0.0,2,31,37,0.8263027263745365,0.7817079328780784,0.6019573730178448,0.7366560107568199,4.812149951855342,4.885093883300821,18.775345102561058,1.4612185843254186,1789,0,False,False,True,True,True,cb46aa0201797cdfca651f575e7542fcf3c507854e1d1601ce22c063bfde13c9,d13a47f17a2ddb498ba0883ad55e8dcedffec095a365b11ad0126e77961d31c5,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.20/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.20/quant_only
greedy,0.15,0.14941340684890747,0.0005865931510925237,prune_only,4316459,16.465984344482422,0.21013283033148022,0,1,69,0.8262661490938178,0.7816198290542767,0.6022611209907545,0.7367156997129497,6.101444674034913,6.3408248747388525,32.40984647222736,1.1524488569297577,1789,0,False,True,False,False,True,8fd3a0af25602a66bd5555903f3668694bf99273a5c289b2297c7df005ac6dbf,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only
greedy,0.15,0.14941340684890747,0.0005865931510925237,prune_quant,4316459,16.465984344482422,0.21013283033148022,3,37,30,0.8262659482414275,0.7817426029934252,0.602398911653269,0.7368024876293738,4.338139357666175,4.4219721884777154,22.640946330491342,1.6208799119801776,1789,0,True,False,False,True,True,04b17de056360382e5585a5cfe47008c344128b325f00e7633fe065d7c2807ed,a8e2214a79120d255772bf073b811e3a8dfb247998ec4d7e0c440e05eb97dbee,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.15/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_greedy_20260717_030912/greedy/stage2_full/04b17de056360382e5585a5cfe47008c344128b325f00e7633fe065d7c2807ed
greedy,0.15,0.14941340684890747,0.0005865931510925237,quant_only,5464791,20.84652328491211,0.0,3,37,30,0.8261216145856061,0.7813778399295872,0.6021944509247619,0.7365646351466517,4.468003598352273,4.5459292363375425,17.88283821504613,1.573768414780336,1789,0,False,False,True,True,True,33fe29a3d3e9e2d474c83d9ce65b7eb8f6a37fa366610239c48aea86e1c895db,a54d51f5cb7b089b49d482ce11e14c32203b2f18a0951eb92a8d0868e07c3b28,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.15/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.15/quant_only
