frame_id,round_id,model_type,total_time_ms,forward_time_ms,postprocess_time_ms,data_to_gpu_time_ms,success,skip_reason
291,1,baseline,39.364,29.479,3.934,5.951,True,
292,1,baseline,21.798,11.808,3.764,6.226,True,
293,1,baseline,24.93,12.328,4.009,8.593,True,
294,1,baseline,52.036,31.311,4.653,16.072,True,
295,1,baseline,22.695,12.32,4.255,6.119,True,
296,1,baseline,22.69,12.369,3.92,6.402,True,
297,1,baseline,24.315,12.426,4.201,7.689,True,
298,1,baseline,38.966,20.348,4.194,14.424,True,
299,1,baseline,56.606,46.924,3.859,5.823,True,
300,1,baseline,21.836,11.741,3.775,6.32,True,
301,1,baseline,23.921,12.27,3.95,7.701,True,
302,1,baseline,28.275,12.189,3.886,12.2,True,
303,1,baseline,21.737,12.002,3.682,6.053,True,
304,1,baseline,21.26,11.59,3.637,6.033,True,
305,1,baseline,23.905,12.03,3.659,8.217,True,
306,1,baseline,51.296,29.157,14.187,7.952,True,
307,1,baseline,28.122,12.062,3.725,12.335,True,
308,1,baseline,23.103,12.995,3.717,6.391,True,
309,1,baseline,22.888,11.995,3.773,7.12,True,
310,1,baseline,21.912,11.96,3.954,5.998,True,
311,1,baseline,22.833,12.331,4.486,6.016,True,
312,1,baseline,24.663,14.173,4.233,6.257,True,
313,1,baseline,24.147,12.182,4.622,7.343,True,
314,1,baseline,21.594,12.136,3.887,5.571,True,
315,1,baseline,21.739,12.067,3.783,5.889,True,
316,1,baseline,21.234,11.618,3.59,6.027,True,
317,1,baseline,23.701,11.884,3.891,7.927,True,
318,1,baseline,22.584,12.305,3.936,6.344,True,
319,1,baseline,22.184,12.042,3.788,6.354,True,
320,1,baseline,21.849,11.932,3.667,6.25,True,
321,1,baseline,24.404,12.857,3.931,7.616,True,
322,1,baseline,24.49,13.595,4.182,6.714,True,
323,1,baseline,25.655,14.523,4.463,6.668,True,
324,1,baseline,29.394,14.088,4.456,10.85,True,
325,1,baseline,22.962,12.083,3.768,7.111,True,
326,1,baseline,39.471,29.174,4.199,6.098,True,
327,1,baseline,40.281,12.213,3.908,24.159,True,
328,1,baseline,21.377,11.864,3.636,5.877,True,
329,1,baseline,23.323,12.67,3.737,6.916,True,
330,1,baseline,43.317,27.545,9.894,5.877,True,
331,1,baseline,22.31,12.057,3.826,6.427,True,
332,1,baseline,21.864,11.892,3.78,6.191,True,
333,1,baseline,25.651,14.377,4.049,7.224,True,
334,1,baseline,22.762,12.523,3.868,6.371,True,
335,1,baseline,29.025,18.968,3.775,6.282,True,
336,1,baseline,22.157,12.098,3.693,6.366,True,
337,1,baseline,24.032,11.793,3.708,8.532,True,
338,1,baseline,37.438,25.555,4.35,7.534,True,
339,1,baseline,24.096,13.63,4.086,6.38,True,
340,1,baseline,23.995,13.196,4.13,6.67,True,
341,1,baseline,44.633,19.655,10.752,14.225,True,
342,1,baseline,22.315,12.489,3.865,5.961,True,
343,1,baseline,22.432,11.964,3.694,6.774,True,
344,1,baseline,21.685,11.886,3.573,6.226,True,
345,1,baseline,25.243,13.285,4.195,7.763,True,
346,1,baseline,22.244,12.449,3.831,5.964,True,
347,1,baseline,21.718,11.881,3.598,6.239,True,
348,1,baseline,21.663,11.842,3.616,6.206,True,
349,1,baseline,25.799,13.641,4.292,7.865,True,
350,1,baseline,28.027,16.863,4.639,6.526,True,
351,1,baseline,39.929,24.043,3.636,12.25,True,
352,1,baseline,31.933,16.052,3.628,12.253,True,
353,1,baseline,23.258,11.9,3.776,7.582,True,
354,1,baseline,68.522,46.233,10.096,12.193,True,
355,1,baseline,52.158,23.659,9.853,18.645,True,
356,1,baseline,46.795,24.296,9.99,12.509,True,
357,1,baseline,36.781,23.172,4.732,8.876,True,
358,1,baseline,31.139,12.954,3.988,14.197,True,
359,1,baseline,22.245,12.087,3.774,6.383,True,
360,1,baseline,24.201,11.925,5.792,6.484,True,
361,1,baseline,38.758,22.314,10.115,6.329,True,
362,1,baseline,33.675,23.605,3.983,6.087,True,
363,1,baseline,21.938,11.913,3.695,6.33,True,
364,1,baseline,22.56,12.329,3.712,6.52,True,
365,1,baseline,23.029,11.798,3.572,7.659,True,
366,1,baseline,49.199,24.905,10.093,14.201,True,
367,1,baseline,40.356,24.339,3.77,12.248,True,
368,1,baseline,58.429,21.733,24.305,12.39,True,
369,1,baseline,23.738,11.857,4.379,7.502,True,
370,1,baseline,24.238,13.955,3.955,6.328,True,
371,1,baseline,22.324,12.285,3.625,6.413,True,
372,1,baseline,21.861,11.946,3.594,6.322,True,
373,1,baseline,40.759,29.324,3.94,7.496,True,
374,1,baseline,22.296,12.189,4.166,5.941,True,
375,1,baseline,22.504,12.543,3.707,6.253,True,
376,1,baseline,22.376,12.41,3.599,6.367,True,
377,1,baseline,27.33,14.5,4.214,8.616,True,
378,1,baseline,22.701,12.478,4.093,6.13,True,
379,1,baseline,41.283,12.293,3.627,25.362,True,
380,1,baseline,21.237,11.647,3.456,6.134,True,
381,1,baseline,41.079,23.615,3.543,13.92,True,
382,1,baseline,21.245,11.639,3.488,6.119,True,
383,1,baseline,21.821,12.219,3.703,5.899,True,
384,1,baseline,48.904,25.291,10.375,13.238,True,
385,1,baseline,47.641,24.188,3.666,19.787,True,
386,1,baseline,46.586,18.516,15.757,12.313,True,
387,1,baseline,32.876,16.872,3.706,12.298,True,
388,1,baseline,22.218,12.245,3.753,6.22,True,
389,1,baseline,34.262,18.222,3.691,12.348,True,
390,1,baseline,21.758,11.854,3.589,6.315,True,
391,1,baseline,33.738,23.824,3.662,6.251,True,
392,1,baseline,24.933,12.984,4.228,7.721,True,
393,1,baseline,22.941,11.809,3.614,7.519,True,
394,1,baseline,21.381,11.701,3.576,6.104,True,
395,1,baseline,22.455,11.687,4.761,6.006,True,
396,1,baseline,26.188,15.881,4.113,6.194,True,
