gpu_id,sequence_index,item_id,method,assigned_method,variant,budget,actual_bops,parameter_count_base,parameter_count_pruned,parameter_reduction,AP@0.3,AP@0.5,AP@0.7,mAP,forward_p50_ms,forward_p90_ms,forward_p99_ms,speedup_vs_same_gpu_fp32,int8_count,fp16_count,fp32_count,evaluated_frames,skipped_frames,frame_order_hash,engine_sha256,cache_cleanup_passed,engine_build_invoked
1,2,greedy_bops_0.30_prune_only,greedy,greedy,prune_only,0.3,0.3019222021102905,5464791,4316459,0.21013283033148022,0.8262125109208024,0.7816080628404053,0.6022910358097444,0.7367038698569841,6.269138306379318,9.129040796930592,45.53651020860392,1.161193862151652,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,True,False
1,3,greedy_bops_0.30_quant_only,greedy,greedy,quant_only,0.3,0.3019222021102905,5464791,5464791,0.0,0.8261093704587411,0.7815871465317994,0.6023025759034906,0.7366663642980104,7.364058246215184,9.788072047134241,43.14092826717699,0.9885425507177266,0,26,44,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,8b75740ffa26236b71c6a185ae18c16af5474a62934c472dfa6c22917dbd6320,True,False
1,4,greedy_bops_0.25_prune_quant,greedy,greedy,prune_quant,0.25,0.24907951056957245,,,,0.826108692301672,0.7816204665759449,0.6023698911364279,0.7366996833380149,6.715338289116819,9.600024980803331,34.88428058411802,1.0840384518148927,0,31,39,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,6ebe0cbf0b46d21012c3866efa25409e576194cb0d65dc379a413f8495177a03,True,False
1,5,greedy_bops_0.25_prune_only,greedy,greedy,prune_only,0.25,0.24907951056957245,5464791,4316459,0.21013283033148022,0.8261896672675324,0.7814022492940331,0.6024422037110199,0.7366780400908618,6.226080392176907,9.073715346554916,43.52911092028698,1.1692243697165263,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,True,False
1,6,greedy_bops_0.25_quant_only,greedy,greedy,quant_only,0.25,0.24907951056957245,5464791,5464791,0.0,0.8262007254375325,0.7816826270131471,0.6024593538875129,0.7367809021127307,6.873140344396234,10.316680433849493,36.97001841228209,1.0591497565276249,0,31,39,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,282b193524985f1991e24d6d99e56cc1c8ec137a372074fa183694dcfb2bb151,True,False
1,7,greedy_bops_0.20_prune_quant,greedy,greedy,prune_quant,0.2,0.19677375257015228,,,,0.8262563446862945,0.7816159107286091,0.602082350636514,0.7366515353504726,4.870353965088725,5.1457895586888,25.421999720842614,1.4946931936629475,2,31,37,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,7b8ffb5fab14f3eef7d8283d2c757490c09d24d89d8f9ad8be2098ec210eecd3,True,False
1,8,greedy_bops_0.20_prune_only,greedy,greedy,prune_only,0.2,0.19677375257015228,5464791,4316459,0.21013283033148022,0.8261569053069631,0.7815322431695688,0.6023253761825481,0.7366715082196933,6.106853252276778,6.268526536102097,28.850016286580754,1.1920517198662715,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,True,False
1,9,greedy_bops_0.20_quant_only,greedy,greedy,quant_only,0.2,0.19677375257015228,5464791,5464791,0.0,0.8262746195354035,0.7817221662408368,0.6022640757358474,0.7367536205040293,5.008043333267172,5.3870726221551495,29.12516935416903,1.45359862882782,2,31,37,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,d13a47f17a2ddb498ba0883ad55e8dcedffec095a365b11ad0126e77961d31c5,True,False
1,10,greedy_bops_0.15_prune_quant,greedy,greedy,prune_quant,0.15,0.14941340684890747,,,,0.8263686503062618,0.7817735182353882,0.6024984117922262,0.7368801934446254,4.539713030681014,4.878307770316799,25.348007855923743,1.6035561880561031,3,37,30,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,a8e2214a79120d255772bf073b811e3a8dfb247998ec4d7e0c440e05eb97dbee,True,False
1,11,greedy_bops_0.15_prune_only,greedy,greedy,prune_only,0.15,0.14941340684890747,5464791,4316459,0.21013283033148022,0.8262804705707032,0.7816935907254297,0.6023090083160947,0.7367610232040759,6.203552940860391,6.546239089220762,33.4300840304382,1.1734702664337742,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,True,False
1,12,greedy_bops_0.15_quant_only,greedy,greedy,quant_only,0.15,0.14941340684890747,5464791,5464791,0.0,0.8261588849290477,0.781525306846599,0.6021106165640386,0.7365982694465618,4.60562373821934,5.06467119169732,29.143761691314495,1.5806078255888942,3,37,30,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,a54d51f5cb7b089b49d482ce11e14c32203b2f18a0951eb92a8d0868e07c3b28,True,False
1,13,greedy_bops_0.10_prune_quant,greedy,greedy,prune_quant,0.1,0.09847785532474518,,,,0.8261143625800403,0.7816198959375427,0.6022763315674357,0.7366701966950062,3.4260553463051715,3.740050597116351,22.431436469765796,2.124800736274807,13,50,7,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,36db4a103cbdd45c8f89e9b3d6c8a3341993b17f951ec0aee8b6fbafd3512341,True,False
1,14,greedy_bops_0.10_prune_only,greedy,greedy,prune_only,0.1,0.09847785532474518,5464791,4258667,0.22070816614944655,0.8261694246375654,0.7816174628612343,0.6023568362455151,0.7367145745814382,6.13579829223454,6.437552999705076,29.345587541643482,1.1864283302077625,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,850cb6bb2724e760cb7f367a2def984ad723c7868dfc05baa85d7540826b5640,True,False
1,15,greedy_bops_0.10_quant_only,greedy,greedy,quant_only,0.1,0.09847785532474518,5464791,5464791,0.0,0.8263487888774239,0.7816355578272342,0.6022808804024065,0.7367550757023548,3.467040446897348,3.834576097627481,21.98802948617766,2.099682721862115,13,50,7,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,6c71b271643d58e121e22531b704a52557485cf4905b96a864c7a08e5d034932,True,False
1,16,greedy_bops_0.05_prune_quant,greedy,greedy,prune_quant,0.05,0.04999448359012604,,,,0.7901430017708229,0.7456401593683536,0.5632980740359124,0.699693745058363,3.29477332221965,3.560525427261988,21.367747634637837,2.209464570219122,33,36,1,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,c220cab04bc40edf5df587d4126de4b39f9bfb26d3245c38208ce66b5d38475a,True,False
1,17,greedy_bops_0.05_prune_only,greedy,greedy,prune_only,0.05,0.04999448359012604,5464791,3341055,0.3886216325564875,0.825959860001775,0.7813013964737445,0.6018621344129551,0.7363744636294914,5.80084091052413,6.105470626304547,33.727598941558405,1.2549361436788165,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,af1a471b0e5d4651a57a3fb9c369aaaf8c570035bff8bd3082baa7c46de93bdf,True,False
1,18,greedy_bops_0.05_quant_only,greedy,greedy,quant_only,0.05,0.04999448359012604,5464791,5464791,0.0,0.7959077070597422,0.7497794739703899,0.5506517190538467,0.6987796333613264,3.381131992985805,3.7464447164287176,29.873158615071965,2.1530318654963048,33,36,1,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,151149139fa9662ec437717cf4b883976cb1c2b7f993f82d561227df062a6503,True,False
